Time,Day-ahead Total Load Forecast [6.1.B],Actual Total Load [6.1.A]
16:45 - 17:00,72804,78452
17:00 - 17:15,72983,78368
17:15 - 17:30,73438,79102
17:30 - 17:45,73852,79262
17:45 - 18:00,74434,79848
18:00 - 18:15,75040,81850
18:15 - 18:30,75939,83019
18:30 - 18:45,77065,84240
18:45 - 19:00,77279,84670
19:00 - 19:15,76823,84355
19:15 - 19:30,76493,83529
19:30 - 19:45,76301,82736
19:45 - 20:00,75634,82099
20:00 - 20:15,73805,80364
20:15 - 20:30,72433,78836
20:30 - 20:45,71273,77328
20:45 - 21:00,69834,76157
21:00 - 21:15,68844,75544
21:15 - 21:30,68493,74620
21:30 - 21:45,67478,73661
21:45 - 22:00,66515,72310
22:00 - 22:15,66686,72453
22:15 - 22:30,66518,71497
22:30 - 22:45,65019,70537
22:45 - 23:00,64019,69145
23:00 - 23:15,62822,67382
23:15 - 23:30,61820,66091
23:30 - 23:45,60667,64864
23:45 - 00:00,59761,64122
00:00 - 00:15,57750,62954
00:15 - 00:30,56955,62191
00:30 - 00:45,56270,61492
00:45 - 01:00,55883,60762
01:00 - 01:15,55337,60125
01:15 - 01:30,55200,59552
01:30 - 01:45,54629,59284
01:45 - 02:00,53962,58973
02:00 - 02:15,53685,58635
02:15 - 02:30,53061,58302
02:30 - 02:45,53371,58550
02:45 - 03:00,53372,58531
03:00 - 03:15,52843,58771
03:15 - 03:30,52985,58924
03:30 - 03:45,53132,58967
03:45 - 04:00,54444,59192
04:00 - 04:15,53751,59635
04:15 - 04:30,53792,60023
04:30 - 04:45,54423,60452
04:45 - 05:00,56604,61148
05:00 - 05:15,57683,62891
05:15 - 05:30,58559,63914
05:30 - 05:45,59402,65019
05:45 - 06:00,60518,66782
06:00 - 06:15,63256,69741
06:15 - 06:30,65496,72444
06:30 - 06:45,67487,74514
06:45 - 07:00,68556,75671
07:00 - 07:15,70663,77543
07:15 - 07:30,71117,78606
07:30 - 07:45,71599,79383
07:45 - 08:00,72476,80227
08:00 - 08:15,73537,81360
08:15 - 08:30,73223,81802
08:30 - 08:45,73295,81998
08:45 - 09:00,73572,81949
09:00 - 09:15,73710,81763
09:15 - 09:30,73970,82033
09:30 - 09:45,74721,82407
09:45 - 10:00,75060,82666
10:00 - 10:15,75144,83054
10:15 - 10:30,75628,83029
10:30 - 10:45,76512,83118
10:45 - 11:00,76696,83388
11:00 - 11:15,77217,83175
11:15 - 11:30,77592,83241
11:30 - 11:45,77569,83307
11:45 - 12:00,77851,83190
12:00 - 12:15,77208,82542
12:15 - 12:30,76799,82083
12:30 - 12:45,73097,82335
12:45 - 13:00,75934,82302
13:00 - 13:15,71570,83051
13:15 - 13:30,72362,82717
13:30 - 13:45,71182,82282
13:45 - 14:00,74391,81207
14:00 - 14:15,72504,81173
14:15 - 14:30,70554,81036
14:30 - 14:45,69826,80687
14:45 - 15:00,72853,79844
15:00 - 15:15,71963,79700
15:15 - 15:30,71632,79282
15:30 - 15:45,72117,78822
15:45 - 16:00,71322,77902
16:00 - 16:15,71361,77776
16:15 - 16:30,71092,77522
16:30 - 16:45,70406,77236
16:45 - 17:00,70256,77222
17:00 - 17:15,71317,77637
17:15 - 17:30,70827,78132
17:30 - 17:45,71239,78606
17:45 - 18:00,72840,79388
18:00 - 18:15,74021,80592
18:15 - 18:30,75251,81880
18:30 - 18:45,76268,83177
18:45 - 19:00,76877,83843
19:00 - 19:15,76576,83438
19:15 - 19:30,75835,82878
19:30 - 19:45,75466,82090
19:45 - 20:00,74565,81262
20:00 - 20:15,73162,79527
20:15 - 20:30,71878,78094
20:30 - 20:45,70779,76759
20:45 - 21:00,69318,75446
21:00 - 21:15,68315,74313
21:15 - 21:30,67396,73725
21:30 - 21:45,66727,72672
21:45 - 22:00,65883,71872
22:00 - 22:15,66293,71841
22:15 - 22:30,65994,71031
22:30 - 22:45,64846,69938
22:45 - 23:00,63921,68730
23:00 - 23:15,62832,67004
23:15 - 23:30,61774,65860
23:30 - 23:45,60688,64843
23:45 - 00:00,62543,63942
00:00 - 00:15,59556,62592
00:15 - 00:30,58450,61589
00:30 - 00:45,57316,60694
00:45 - 01:00,56723,60241
01:00 - 01:15,56165,59686
01:15 - 01:30,55915,59122
01:30 - 01:45,55203,58859
01:45 - 02:00,54552,58634
02:00 - 02:15,54418,58500
02:15 - 02:30,53913,58186
02:30 - 02:45,54202,58116
02:45 - 03:00,54877,58233
03:00 - 03:15,54709,58452
03:15 - 03:30,54709,58412
03:30 - 03:45,54864,58588
03:45 - 04:00,55497,58885
04:00 - 04:15,55845,59365
04:15 - 04:30,56194,59807
04:30 - 04:45,56482,60191
04:45 - 05:00,57412,60972
05:00 - 05:15,58697,62154
05:15 - 05:30,59360,63136
05:30 - 05:45,60386,64255
05:45 - 06:00,61711,65821
06:00 - 06:15,64713,68998
06:15 - 06:30,67074,71910
06:30 - 06:45,69100,73668
06:45 - 07:00,70957,74957
07:00 - 07:15,73231,77000
07:15 - 07:30,74745,78190
07:30 - 07:45,75642,78800
07:45 - 08:00,76337,79818
08:00 - 08:15,76733,80866
08:15 - 08:30,77101,81388
08:30 - 08:45,77122,81746
08:45 - 09:00,77519,82095
09:00 - 09:15,77236,81685
09:15 - 09:30,77286,81845
09:30 - 09:45,78111,82236
09:45 - 10:00,78910,82384
10:00 - 10:15,78762,82382
10:15 - 10:30,78810,82590
10:30 - 10:45,79561,82740
10:45 - 11:00,79484,82763
11:00 - 11:15,79385,82534
11:15 - 11:30,79715,82872
11:30 - 11:45,79630,83080
11:45 - 12:00,79569,82899
12:00 - 12:15,79053,82455
12:15 - 12:30,79512,81898
12:30 - 12:45,78800,81618
12:45 - 13:00,78422,81100
13:00 - 13:15,78612,80729
13:15 - 13:30,77563,80147
13:30 - 13:45,76108,79638
13:45 - 14:00,76940,78507
14:00 - 14:15,75871,77952
14:15 - 14:30,76754,77672
14:30 - 14:45,75495,77368
14:45 - 15:00,74551,76771
15:00 - 15:15,75131,76878
15:15 - 15:30,74085,76374
15:30 - 15:45,74350,75879
15:45 - 16:00,73587,75302
16:00 - 16:15,73667,75152
16:15 - 16:30,73191,74912
16:30 - 16:45,73138,74735
16:45 - 17:00,72583,74697
17:00 - 17:15,73339,75306
17:15 - 17:30,73103,75791
17:30 - 17:45,73285,76086
17:45 - 18:00,74305,76672
18:00 - 18:15,76173,77888
18:15 - 18:30,77123,79176
18:30 - 18:45,78625,80256
18:45 - 19:00,78994,80471
19:00 - 19:15,78121,80148
19:15 - 19:30,78062,79355
19:30 - 19:45,77418,78571
19:45 - 20:00,76760,77697
20:00 - 20:15,74939,75758
20:15 - 20:30,73522,74270
20:30 - 20:45,72548,73053
20:45 - 21:00,70646,71933
21:00 - 21:15,69701,70812
21:15 - 21:30,69068,70136
21:30 - 21:45,68056,68976
21:45 - 22:00,67055,68101
22:00 - 22:15,67284,68497
22:15 - 22:30,66851,67583
22:30 - 22:45,65710,66613
22:45 - 23:00,64595,65393
23:00 - 23:15,63299,64365
23:15 - 23:30,62225,63285
23:30 - 23:45,61337,62398
23:45 - 00:00,58346,61354
00:00 - 00:15,58667,60616
00:15 - 00:30,57145,59543
00:30 - 00:45,56454,58889
00:45 - 01:00,55646,58132
01:00 - 01:15,55012,57611
01:15 - 01:30,54436,57028
01:30 - 01:45,54066,56732
01:45 - 02:00,53601,56503
02:00 - 02:15,53069,55877
02:15 - 02:30,52792,55558
02:30 - 02:45,52693,55505
02:45 - 03:00,52575,55340
03:00 - 03:15,52447,55157
03:15 - 03:30,52385,54940
03:30 - 03:45,52399,54878
03:45 - 04:00,52463,54872
04:00 - 04:15,52637,55595
04:15 - 04:30,52671,55579
04:30 - 04:45,52939,55775
04:45 - 05:00,53183,55919
05:00 - 05:15,53510,56454
05:15 - 05:30,53632,56503
05:30 - 05:45,53802,56489
05:45 - 06:00,54035,56475
06:00 - 06:15,54481,56513
06:15 - 06:30,55238,57222
06:30 - 06:45,55968,57697
06:45 - 07:00,56671,57974
07:00 - 07:15,57475,59214
07:15 - 07:30,58237,60026
07:30 - 07:45,58997,60840
07:45 - 08:00,59767,62045
08:00 - 08:15,60738,63293
08:15 - 08:30,61765,64427
08:30 - 08:45,62622,65135
08:45 - 09:00,63054,65997
09:00 - 09:15,64258,67161
09:15 - 09:30,64931,67897
09:30 - 09:45,65501,68556
09:45 - 10:00,66048,68969
10:00 - 10:15,66532,69324
10:15 - 10:30,66910,69444
10:30 - 10:45,67029,69600
10:45 - 11:00,67401,69708
11:00 - 11:15,67953,69826
11:15 - 11:30,68411,70014
11:30 - 11:45,68799,70055
11:45 - 12:00,68663,69769
12:00 - 12:15,68167,69150
12:15 - 12:30,67590,68647
12:30 - 12:45,67227,68669
12:45 - 13:00,67129,68083
13:00 - 13:15,66264,67396
13:15 - 13:30,65113,66417
13:30 - 13:45,64945,65699
13:45 - 14:00,64339,64875
14:00 - 14:15,63690,64638
14:15 - 14:30,63523,64043
14:30 - 14:45,63057,63706
14:45 - 15:00,62989,62927
15:00 - 15:15,62466,62492
15:15 - 15:30,61901,62218
15:30 - 15:45,61474,61710
15:45 - 16:00,61250,61258
16:00 - 16:15,61159,61157
16:15 - 16:30,61137,61142
16:30 - 16:45,61308,61084
16:45 - 17:00,61244,61130
17:00 - 17:15,62283,61579
17:15 - 17:30,62568,62437
17:30 - 17:45,63311,63342
17:45 - 18:00,64216,64452
18:00 - 18:15,65880,66002
18:15 - 18:30,66374,67831
18:30 - 18:45,67087,69366
18:45 - 19:00,67348,70004
19:00 - 19:15,66947,69856
19:15 - 19:30,66501,69241
19:30 - 19:45,65889,68614
19:45 - 20:00,65014,67769
20:00 - 20:15,63661,66446
20:15 - 20:30,62463,64994
20:30 - 20:45,61354,63718
20:45 - 21:00,60298,62638
21:00 - 21:15,62731,61826
21:15 - 21:30,59326,61305
21:30 - 21:45,58800,60906
21:45 - 22:00,58141,60372
22:00 - 22:15,62126,61038
22:15 - 22:30,62046,60764
22:30 - 22:45,61309,59926
22:45 - 23:00,60446,58721
23:00 - 23:15,59958,57419
23:15 - 23:30,59382,56519
23:30 - 23:45,54011,55519
23:45 - 00:00,57802,54386
00:00 - 00:15,54089,53762
00:15 - 00:30,53453,52694
00:30 - 00:45,52665,52097
00:45 - 01:00,52090,51583
01:00 - 01:15,51459,51006
01:15 - 01:30,50904,50205
01:30 - 01:45,50404,49905
01:45 - 02:00,49803,49465
02:00 - 02:15,49612,49309
02:15 - 02:30,49271,48910
02:30 - 02:45,49185,48576
02:45 - 03:00,48933,48708
03:00 - 03:15,48899,48980
03:15 - 03:30,48712,48425
03:30 - 03:45,48782,48703
03:45 - 04:00,49003,48612
04:00 - 04:15,49170,48873
04:15 - 04:30,49195,48743
04:30 - 04:45,49483,48993
04:45 - 05:00,49712,49223
05:00 - 05:15,50008,49395
05:15 - 05:30,50029,49066
05:30 - 05:45,50083,49165
05:45 - 06:00,50115,48905
06:00 - 06:15,50039,48245
06:15 - 06:30,50509,48451
06:30 - 06:45,51152,48478
06:45 - 07:00,51552,48462
07:00 - 07:15,51994,49262
07:15 - 07:30,52649,50020
07:30 - 07:45,53305,50839
07:45 - 08:00,53906,51636
08:00 - 08:15,55203,52990
08:15 - 08:30,55979,54289
08:30 - 08:45,56732,54967
08:45 - 09:00,57082,55862
09:00 - 09:15,58436,57196
09:15 - 09:30,59127,58131
09:30 - 09:45,58652,58413
09:45 - 10:00,59531,59050
10:00 - 10:15,59959,59748
10:15 - 10:30,60608,60278
10:30 - 10:45,61167,60561
10:45 - 11:00,61794,61226
11:00 - 11:15,62862,61545
11:15 - 11:30,63493,62057
11:30 - 11:45,63945,62522
11:45 - 12:00,63794,62055
12:00 - 12:15,63368,61452
12:15 - 12:30,63690,60740
12:30 - 12:45,63282,60186
12:45 - 13:00,63129,59463
13:00 - 13:15,62546,58774
13:15 - 13:30,61908,57987
13:30 - 13:45,61549,57377
13:45 - 14:00,60777,56594
14:00 - 14:15,60294,56265
14:15 - 14:30,60192,55618
14:30 - 14:45,59351,55090
14:45 - 15:00,59291,54684
15:00 - 15:15,58797,54300
15:15 - 15:30,58200,54194
15:30 - 15:45,57974,53917
15:45 - 16:00,57663,53686
16:00 - 16:15,57580,53619
16:15 - 16:30,57635,53680
16:30 - 16:45,57579,54272
16:45 - 17:00,57580,54605
17:00 - 17:15,58332,55942
17:15 - 17:30,58742,56740
17:30 - 17:45,59502,57695
17:45 - 18:00,60549,59176
18:00 - 18:15,62665,61329
18:15 - 18:30,64037,63043
18:30 - 18:45,65005,64580
18:45 - 19:00,64918,65774
19:00 - 19:15,64820,66118
19:15 - 19:30,64455,65625
19:30 - 19:45,64189,64909
19:45 - 20:00,63073,64461
20:00 - 20:15,63866,63896
20:15 - 20:30,60885,62392
20:30 - 20:45,62181,61367
20:45 - 21:00,61644,60618
21:00 - 21:15,61690,60386
21:15 - 21:30,61429,59795
21:30 - 21:45,61189,59136
21:45 - 22:00,61236,59226
22:00 - 22:15,62238,60767
22:15 - 22:30,62185,60165
22:30 - 22:45,61319,59535
22:45 - 23:00,60310,58570
23:00 - 23:15,59536,57549
23:15 - 23:30,58717,56506
23:30 - 23:45,58050,55649
23:45 - 00:00,57324,54728
00:00 - 00:15,56813,53874
00:15 - 00:30,56186,53275
00:30 - 00:45,55693,52790
00:45 - 01:00,51304,52289
01:00 - 01:15,50755,52102
01:15 - 01:30,50325,51725
01:30 - 01:45,54041,51581
01:45 - 02:00,53748,51222
02:00 - 02:15,53553,50982
02:15 - 02:30,53396,50902
02:30 - 02:45,53395,50896
02:45 - 03:00,53424,50932
03:00 - 03:15,53464,51072
03:15 - 03:30,53520,51315
03:30 - 03:45,49800,51562
03:45 - 04:00,50184,52070
04:00 - 04:15,51055,52840
04:15 - 04:30,51545,53386
04:30 - 04:45,52267,54086
04:45 - 05:00,53341,55219
05:00 - 05:15,55233,56977
05:15 - 05:30,56252,57878
05:30 - 05:45,58007,59551
05:45 - 06:00,59861,61298
06:00 - 06:15,63434,65178
06:15 - 06:30,66183,68387
06:30 - 06:45,68671,70349
06:45 - 07:00,69963,71966
07:00 - 07:15,72316,73860
07:15 - 07:30,74238,74925
07:30 - 07:45,74429,75720
07:45 - 08:00,75305,76821
08:00 - 08:15,76790,77752
08:15 - 08:30,77089,78141
08:30 - 08:45,77052,78199
08:45 - 09:00,77533,78581
09:00 - 09:15,77507,78468
09:15 - 09:30,77220,78804
09:30 - 09:45,78091,79025
09:45 - 10:00,78793,79322
10:00 - 10:15,77656,79536
10:15 - 10:30,77881,79827
10:30 - 10:45,78612,80118
10:45 - 11:00,78857,80301
11:00 - 11:15,79086,80633
11:15 - 11:30,78850,80715
11:30 - 11:45,79379,81215
11:45 - 12:00,79644,81567
12:00 - 12:15,78675,80178
12:15 - 12:30,78735,79579
12:30 - 12:45,78503,79507
12:45 - 13:00,78856,79391
13:00 - 13:15,77906,79491
13:15 - 13:30,77196,78986
13:30 - 13:45,77177,78632
13:45 - 14:00,76126,77982
14:00 - 14:15,75646,77625
14:15 - 14:30,75629,77469
14:30 - 14:45,75690,77265
14:45 - 15:00,76640,77023
15:00 - 15:15,76572,76840
15:15 - 15:30,76234,76100
15:30 - 15:45,75094,75738
15:45 - 16:00,75086,75285
16:00 - 16:15,74382,74976
16:15 - 16:30,74430,74409
16:30 - 16:45,74137,73980
16:45 - 17:00,73231,73849
17:00 - 17:15,72969,74431
17:15 - 17:30,73373,74971
17:30 - 17:45,73861,75437
17:45 - 18:00,74288,76259
18:00 - 18:15,75149,77214
18:15 - 18:30,76144,78745
18:30 - 18:45,77178,80906
18:45 - 19:00,77463,82090
19:00 - 19:15,76995,82058
19:15 - 19:30,77092,81314
19:30 - 19:45,76845,80796
19:45 - 20:00,76348,79883
20:00 - 20:15,74336,78211
20:15 - 20:30,73043,76493
20:30 - 20:45,71762,75325
20:45 - 21:00,70925,73870
21:00 - 21:15,69612,72961
21:15 - 21:30,69962,71995
21:30 - 21:45,68766,71197
21:45 - 22:00,68115,70555
22:00 - 22:15,68009,70035
22:15 - 22:30,67597,68992
22:30 - 22:45,66350,67695
22:45 - 23:00,65419,66245
23:00 - 23:15,64318,64703
23:15 - 23:30,63492,63547
23:30 - 23:45,62107,62665
23:45 - 00:00,61659,61645
00:00 - 00:15,62547,60105
00:15 - 00:30,60578,59212
00:30 - 00:45,59793,58481
00:45 - 01:00,59178,57717
01:00 - 01:15,58705,56958
01:15 - 01:30,58118,56654
01:30 - 01:45,57838,56366
01:45 - 02:00,57392,56268
02:00 - 02:15,56894,56000
02:15 - 02:30,56593,55877
02:30 - 02:45,57004,56002
02:45 - 03:00,56650,55951
03:00 - 03:15,56958,56050
03:15 - 03:30,56825,56201
03:30 - 03:45,56920,56461
03:45 - 04:00,57194,56698
04:00 - 04:15,57472,57412
04:15 - 04:30,57740,57897
04:30 - 04:45,57989,58495
04:45 - 05:00,58473,59106
05:00 - 05:15,59454,60601
05:15 - 05:30,60223,61341
05:30 - 05:45,61256,62585
05:45 - 06:00,62505,64164
06:00 - 06:15,65400,67767
06:15 - 06:30,67279,70798
06:30 - 06:45,69360,72200
06:45 - 07:00,69439,73529
07:00 - 07:15,72315,75359
07:15 - 07:30,75039,76179
07:30 - 07:45,75659,77260
07:45 - 08:00,76287,78112
08:00 - 08:15,77600,79574
08:15 - 08:30,77822,80105
08:30 - 08:45,77828,80302
08:45 - 09:00,78293,80456
09:00 - 09:15,78204,79862
09:15 - 09:30,77833,79938
09:30 - 09:45,78685,80261
09:45 - 10:00,78853,80675
10:00 - 10:15,78603,80890
10:15 - 10:30,78763,81052
10:30 - 10:45,79418,81254
10:45 - 11:00,79373,81661
11:00 - 11:15,79989,81640
11:15 - 11:30,79906,81921
11:30 - 11:45,80158,82285
11:45 - 12:00,80247,82027
12:00 - 12:15,79079,81120
12:15 - 12:30,79184,80812
12:30 - 12:45,78715,80827
12:45 - 13:00,78869,80699
13:00 - 13:15,78633,80794
13:15 - 13:30,78576,80659
13:30 - 13:45,76423,80015
13:45 - 14:00,77163,79340
14:00 - 14:15,74855,79445
14:15 - 14:30,74956,79376
14:30 - 14:45,75083,79037
14:45 - 15:00,76666,78426
15:00 - 15:15,76518,78377
15:15 - 15:30,75858,77848
15:30 - 15:45,75616,77634
15:45 - 16:00,74584,77145
16:00 - 16:15,74943,76879
16:15 - 16:30,74231,76127
16:30 - 16:45,74209,76035
16:45 - 17:00,73775,75821
17:00 - 17:15,73669,76160
17:15 - 17:30,73868,76593
17:30 - 17:45,74272,76836
17:45 - 18:00,74606,77324
18:00 - 18:15,75498,78171
18:15 - 18:30,76276,79341
18:30 - 18:45,78133,80865
18:45 - 19:00,78235,81864
19:00 - 19:15,77123,81797
19:15 - 19:30,76714,81223
19:30 - 19:45,77279,80624
19:45 - 20:00,75726,79527
20:00 - 20:15,74880,78264
20:15 - 20:30,73439,76704
20:30 - 20:45,72262,75479
20:45 - 21:00,70766,74384
21:00 - 21:15,69841,73302
21:15 - 21:30,69423,71953
21:30 - 21:45,68312,71074
21:45 - 22:00,67325,70292
22:00 - 22:15,67093,69632
22:15 - 22:30,66837,68620
22:30 - 22:45,65340,67273
22:45 - 23:00,64171,65843
23:00 - 23:15,62863,64296
23:15 - 23:30,61767,63122
23:30 - 23:45,60686,62057
23:45 - 00:00,57233,60891
00:00 - 00:15,57789,59924
00:15 - 00:30,56739,59046
00:30 - 00:45,55981,58340
00:45 - 01:00,55260,57606
01:00 - 01:15,54652,56801
01:15 - 01:30,54077,56318
01:30 - 01:45,53764,56166
01:45 - 02:00,53270,55859
02:00 - 02:15,52916,55434
02:15 - 02:30,52779,55298
02:30 - 02:45,52831,55386
02:45 - 03:00,52871,55730
03:00 - 03:15,53041,55885
03:15 - 03:30,53106,55969
03:30 - 03:45,53255,56087
03:45 - 04:00,53570,56309
04:00 - 04:15,54124,56956
04:15 - 04:30,54451,57302
04:30 - 04:45,55016,58112
04:45 - 05:00,55781,58601
05:00 - 05:15,57245,60044
05:15 - 05:30,57949,61380
05:30 - 05:45,59308,62493
05:45 - 06:00,60820,64202
06:00 - 06:15,64061,67497
06:15 - 06:30,64668,70015
06:30 - 06:45,68431,72051
06:45 - 07:00,70091,73349
07:00 - 07:15,71822,75630
07:15 - 07:30,71777,76627
07:30 - 07:45,72618,77526
07:45 - 08:00,73452,78564
08:00 - 08:15,74492,79012
08:15 - 08:30,75244,79276
08:30 - 08:45,75542,79535
08:45 - 09:00,75815,79482
09:00 - 09:15,75425,79520
09:15 - 09:30,75915,79803
09:30 - 09:45,76125,80087
09:45 - 10:00,76888,80612
10:00 - 10:15,76606,81205
10:15 - 10:30,77206,81491
10:30 - 10:45,76995,81917
10:45 - 11:00,77542,82202
11:00 - 11:15,77575,82163
11:15 - 11:30,77642,82494
11:30 - 11:45,78149,82328
11:45 - 12:00,78288,82271
12:00 - 12:15,77440,81388
12:15 - 12:30,77088,80795
12:30 - 12:45,76937,80777
12:45 - 13:00,77131,80637
13:00 - 13:15,75957,80767
13:15 - 13:30,74238,80336
13:30 - 13:45,74188,80062
13:45 - 14:00,72918,79355
14:00 - 14:15,74054,78777
14:15 - 14:30,75558,78359
14:30 - 14:45,74935,78657
14:45 - 15:00,75183,78041
15:00 - 15:15,75112,77756
15:15 - 15:30,74026,77297
15:30 - 15:45,73059,76441
15:45 - 16:00,73178,76227
16:00 - 16:15,72430,75784
16:15 - 16:30,72351,75408
16:30 - 16:45,72217,75257
16:45 - 17:00,72141,75087
17:00 - 17:15,72520,75505
17:15 - 17:30,72978,75934
17:30 - 17:45,73508,76258
17:45 - 18:00,73719,76705
18:00 - 18:15,74678,77572
18:15 - 18:30,75845,78506
18:30 - 18:45,77147,80514
18:45 - 19:00,77719,81961
19:00 - 19:15,77838,82123
19:15 - 19:30,77389,81476
19:30 - 19:45,76927,80832
19:45 - 20:00,76069,79935
20:00 - 20:15,74579,78571
20:15 - 20:30,73124,76846
20:30 - 20:45,72017,75681
20:45 - 21:00,70751,74378
21:00 - 21:15,69707,72846
21:15 - 21:30,68978,71986
21:30 - 21:45,68034,71201
21:45 - 22:00,66968,70181
22:00 - 22:15,67115,70216
22:15 - 22:30,66505,69312
22:30 - 22:45,65277,68099
22:45 - 23:00,63809,66788
23:00 - 23:15,62436,64731
23:15 - 23:30,61308,63708
23:30 - 23:45,60247,62504
23:45 - 00:00,59268,61273
00:00 - 00:15,56909,60358
00:15 - 00:30,55617,59079
00:30 - 00:45,56007,58551
00:45 - 01:00,55243,57828
01:00 - 01:15,54585,57525
01:15 - 01:30,54074,56961
01:30 - 01:45,53784,56891
01:45 - 02:00,53392,56575
02:00 - 02:15,52997,56288
02:15 - 02:30,52781,56245
02:30 - 02:45,52832,56332
02:45 - 03:00,52859,56394
03:00 - 03:15,53030,56591
03:15 - 03:30,53039,56653
03:30 - 03:45,53212,57020
03:45 - 04:00,53448,57003
04:00 - 04:15,53917,57465
04:15 - 04:30,54262,57963
04:30 - 04:45,54873,58578
04:45 - 05:00,55455,59213
05:00 - 05:15,56726,60706
05:15 - 05:30,57402,61658
05:30 - 05:45,58769,62788
05:45 - 06:00,60253,64385
06:00 - 06:15,63482,67862
06:15 - 06:30,64141,70350
06:30 - 06:45,67876,72086
06:45 - 07:00,69303,73473
07:00 - 07:15,71263,75224
07:15 - 07:30,72504,76149
07:30 - 07:45,73590,76872
07:45 - 08:00,74204,77531
08:00 - 08:15,75065,78369
08:15 - 08:30,75602,78847
08:30 - 08:45,75641,79217
08:45 - 09:00,75599,79545
09:00 - 09:15,75349,79319
09:15 - 09:30,75661,79812
09:30 - 09:45,76364,80001
09:45 - 10:00,76739,80012
10:00 - 10:15,76916,80206
10:15 - 10:30,77162,80507
10:30 - 10:45,77905,80772
10:45 - 11:00,78057,81326
11:00 - 11:15,78158,81567
11:15 - 11:30,78340,81915
11:30 - 11:45,78502,82182
11:45 - 12:00,78220,82327
12:00 - 12:15,77947,81264
12:15 - 12:30,77421,80747
12:30 - 12:45,75781,80824
12:45 - 13:00,75734,80675
13:00 - 13:15,75713,80490
13:15 - 13:30,75155,80027
13:30 - 13:45,74721,79616
13:45 - 14:00,74447,78937
14:00 - 14:15,75743,78625
14:15 - 14:30,73869,78316
14:30 - 14:45,73778,77905
14:45 - 15:00,75064,77340
15:00 - 15:15,74777,77390
15:15 - 15:30,74027,76916
15:30 - 15:45,73422,76445
15:45 - 16:00,72864,75975
16:00 - 16:15,72461,75472
16:15 - 16:30,71916,75272
16:30 - 16:45,71764,74991
16:45 - 17:00,71606,74865
17:00 - 17:15,71869,75328
17:15 - 17:30,72191,75627
17:30 - 17:45,72401,76035
17:45 - 18:00,72805,76611
18:00 - 18:15,74279,77592
18:15 - 18:30,75279,78649
18:30 - 18:45,76538,80483
18:45 - 19:00,77296,81690
19:00 - 19:15,77133,82007
19:15 - 19:30,76599,81187
19:30 - 19:45,76064,80685
19:45 - 20:00,75274,80025
20:00 - 20:15,73841,78130
20:15 - 20:30,72385,76372
20:30 - 20:45,71285,75311
20:45 - 21:00,70013,74328
21:00 - 21:15,69089,72796
21:15 - 21:30,68224,71788
21:30 - 21:45,67280,70547
21:45 - 22:00,66366,69716
22:00 - 22:15,66413,69638
22:15 - 22:30,65645,68793
22:30 - 22:45,64430,67455
22:45 - 23:00,63044,65989
23:00 - 23:15,61801,64789
23:15 - 23:30,60623,63465
23:30 - 23:45,59538,62197
23:45 - 00:00,56290,61223
00:00 - 00:15,56798,60941
00:15 - 00:30,55322,60132
00:30 - 00:45,54673,59120
00:45 - 01:00,53990,58359
01:00 - 01:15,53437,57840
01:15 - 01:30,53513,57446
01:30 - 01:45,52810,57104
01:45 - 02:00,52336,57003
02:00 - 02:15,52635,56828
02:15 - 02:30,52897,56681
02:30 - 02:45,52827,56696
02:45 - 03:00,52907,56760
03:00 - 03:15,52968,56950
03:15 - 03:30,53038,57085
03:30 - 03:45,51953,57226
03:45 - 04:00,53417,57387
04:00 - 04:15,53903,57718
04:15 - 04:30,54146,58159
04:30 - 04:45,54694,58660
04:45 - 05:00,55253,59151
05:00 - 05:15,56515,60182
05:15 - 05:30,57284,61256
05:30 - 05:45,58405,62420
05:45 - 06:00,59949,63685
06:00 - 06:15,63016,67257
06:15 - 06:30,65375,69931
06:30 - 06:45,67235,71326
06:45 - 07:00,68789,72786
07:00 - 07:15,70573,74567
07:15 - 07:30,71733,75523
07:30 - 07:45,72688,76694
07:45 - 08:00,73372,77952
08:00 - 08:15,74485,78690
08:15 - 08:30,75132,79280
08:30 - 08:45,75209,79776
08:45 - 09:00,75445,80029
09:00 - 09:15,75204,80167
09:15 - 09:30,75588,80573
09:30 - 09:45,76080,80742
09:45 - 10:00,76478,81231
10:00 - 10:15,76958,81304
10:15 - 10:30,77178,81554
10:30 - 10:45,77412,82119
10:45 - 11:00,77549,82748
11:00 - 11:15,77634,83194
11:15 - 11:30,77275,83289
11:30 - 11:45,77952,83302
11:45 - 12:00,77644,83033
12:00 - 12:15,77165,82325
12:15 - 12:30,76155,81416
12:30 - 12:45,75850,80890
12:45 - 13:00,75200,80207
13:00 - 13:15,73296,79621
13:15 - 13:30,75063,78836
13:30 - 13:45,71869,78127
13:45 - 14:00,73223,77152
14:00 - 14:15,70838,76887
14:15 - 14:30,70793,76361
14:30 - 14:45,71697,76221
14:45 - 15:00,71096,75968
15:00 - 15:15,71192,75839
15:15 - 15:30,70431,75742
15:30 - 15:45,70743,75449
15:45 - 16:00,70397,75073
16:00 - 16:15,70262,74883
16:15 - 16:30,69880,74689
16:30 - 16:45,69863,74547
16:45 - 17:00,69506,74461
17:00 - 17:15,70066,74816
17:15 - 17:30,70328,74984
17:30 - 17:45,70392,75001
17:45 - 18:00,70761,75630
18:00 - 18:15,71616,76387
18:15 - 18:30,73020,77522
18:30 - 18:45,74057,79041
