Time,Day-ahead Total Load Forecast [6.1.B],Actual Total Load [6.1.A]
01:30 - 01:45,53014,54494
01:45 - 02:00,52438,53854
02:00 - 02:15,52189,52659
02:15 - 02:30,51879,52300
02:30 - 02:45,52162,52290
02:45 - 03:00,51617,52390
03:00 - 03:15,51709,52444
03:15 - 03:30,51497,52221
03:30 - 03:45,51485,52234
03:45 - 04:00,52296,52382
04:00 - 04:15,52336,52527
04:15 - 04:30,51997,52278
04:30 - 04:45,52043,52683
04:45 - 05:00,53127,52833
05:00 - 05:15,52356,52676
05:15 - 05:30,52252,53004
05:30 - 05:45,52217,53041
05:45 - 06:00,52313,53164
06:00 - 06:15,52650,53072
06:15 - 06:30,52380,53630
06:30 - 06:45,52954,54239
06:45 - 07:00,53100,54997
07:00 - 07:15,54720,56713
07:15 - 07:30,55549,57525
07:30 - 07:45,56453,58637
07:45 - 08:00,57374,60037
08:00 - 08:15,58754,61523
08:15 - 08:30,59193,62464
08:30 - 08:45,59601,63448
08:45 - 09:00,60519,64409
09:00 - 09:15,61653,65296
09:15 - 09:30,62242,65938
09:30 - 09:45,62971,66374
09:45 - 10:00,63273,66702
10:00 - 10:15,63755,67395
10:15 - 10:30,63980,67923
10:30 - 10:45,64303,67915
10:45 - 11:00,64729,68042
11:00 - 11:15,65362,68929
11:15 - 11:30,65546,69669
11:30 - 11:45,65896,70008
11:45 - 12:00,66067,69971
12:00 - 12:15,65018,70018
12:15 - 12:30,65032,69566
12:30 - 12:45,64566,69231
12:45 - 13:00,64231,68970
13:00 - 13:15,63726,68177
13:15 - 13:30,63193,67529
13:30 - 13:45,63044,66911
13:45 - 14:00,62349,66112
14:00 - 14:15,62522,65843
14:15 - 14:30,62247,65393
14:30 - 14:45,62485,64949
14:45 - 15:00,61755,64948
15:00 - 15:15,61923,64543
15:15 - 15:30,61838,64449
15:30 - 15:45,60996,63972
15:45 - 16:00,60787,63832
16:00 - 16:15,62851,64573
16:15 - 16:30,63025,64902
16:30 - 16:45,63800,65517
16:45 - 17:00,64071,66858
17:00 - 17:15,65019,68534
17:15 - 17:30,65466,69537
17:30 - 17:45,66275,69756
17:45 - 18:00,66657,70109
18:00 - 18:15,66530,70168
18:15 - 18:30,66181,69965
18:30 - 18:45,65813,69823
18:45 - 19:00,65084,69106
19:00 - 19:15,64412,68518
19:15 - 19:30,63763,68208
19:30 - 19:45,63278,67425
19:45 - 20:00,62526,66733
20:00 - 20:15,61531,64738
20:15 - 20:30,60338,63153
20:30 - 20:45,59227,62364
20:45 - 21:00,58383,61744
21:00 - 21:15,57787,60823
21:15 - 21:30,57824,60157
21:30 - 21:45,57397,59977
21:45 - 22:00,56973,59577
22:00 - 22:15,57144,59945
22:15 - 22:30,57610,59495
22:30 - 22:45,57764,58607
22:45 - 23:00,56502,58232
23:00 - 23:15,55801,57645
23:15 - 23:30,55406,57071
23:30 - 23:45,53649,56514
23:45 - 00:00,53948,55564
00:00 - 00:15,53291,54265
00:15 - 00:30,52346,53527
00:30 - 00:45,49920,53151
00:45 - 01:00,50183,51961
01:00 - 01:15,49561,51115
01:15 - 01:30,48992,50392
01:30 - 01:45,49005,49702
01:45 - 02:00,47992,49181
02:00 - 02:15,48004,48891
02:15 - 02:30,47691,48831
02:30 - 02:45,47769,48655
02:45 - 03:00,47442,48444
03:00 - 03:15,47334,48286
03:15 - 03:30,48000,48100
03:30 - 03:45,48035,48293
03:45 - 04:00,47701,48177
04:00 - 04:15,47722,48509
04:15 - 04:30,47823,48399
04:30 - 04:45,48083,48623
04:45 - 05:00,48288,48543
05:00 - 05:15,48315,48670
05:15 - 05:30,48051,48522
05:30 - 05:45,48032,48359
05:45 - 06:00,47726,47859
06:00 - 06:15,47265,47370
06:15 - 06:30,47260,47400
06:30 - 06:45,47576,48077
06:45 - 07:00,47906,48247
07:00 - 07:15,48893,49050
07:15 - 07:30,49117,49482
07:30 - 07:45,49929,50181
07:45 - 08:00,50686,51275
08:00 - 08:15,51708,52288
08:15 - 08:30,51971,52832
08:30 - 08:45,52999,53890
08:45 - 09:00,53469,54929
09:00 - 09:15,54508,55803
09:15 - 09:30,55527,56711
09:30 - 09:45,55932,57736
09:45 - 10:00,56558,58827
10:00 - 10:15,57371,60021
10:15 - 10:30,57711,61038
10:30 - 10:45,58188,61800
10:45 - 11:00,58806,62688
11:00 - 11:15,59616,63873
11:15 - 11:30,60649,64817
11:30 - 11:45,61177,65378
11:45 - 12:00,61239,65170
12:00 - 12:15,61031,65260
12:15 - 12:30,60664,64947
12:30 - 12:45,60465,64441
12:45 - 13:00,59671,63795
13:00 - 13:15,59205,63889
13:15 - 13:30,58532,63293
13:30 - 13:45,58236,62859
13:45 - 14:00,57548,62569
14:00 - 14:15,57319,62014
14:15 - 14:30,56835,61519
14:30 - 14:45,56625,61260
14:45 - 15:00,56469,60847
15:00 - 15:15,56704,61017
15:15 - 15:30,56532,60549
15:30 - 15:45,56444,60748
15:45 - 16:00,56512,60861
16:00 - 16:15,57006,60654
16:15 - 16:30,57311,61563
16:30 - 16:45,58096,62272
16:45 - 17:00,59303,63351
17:00 - 17:15,61155,65292
17:15 - 17:30,62633,66445
17:30 - 17:45,63323,67190
17:45 - 18:00,63692,67672
18:00 - 18:15,64074,68279
18:15 - 18:30,64270,68091
18:30 - 18:45,64067,68083
18:45 - 19:00,63830,67823
19:00 - 19:15,63397,66954
19:15 - 19:30,62838,66468
19:30 - 19:45,62391,66239
19:45 - 20:00,61847,65428
20:00 - 20:15,60790,65072
20:15 - 20:30,59960,64116
20:30 - 20:45,59165,62989
20:45 - 21:00,58188,62030
21:00 - 21:15,58075,61825
21:15 - 21:30,57747,61649
21:30 - 21:45,57590,61387
21:45 - 22:00,57537,61236
22:00 - 22:15,58673,62740
22:15 - 22:30,58521,62354
22:30 - 22:45,57729,61559
22:45 - 23:00,56819,60553
23:00 - 23:15,55915,59637
23:15 - 23:30,54927,58629
23:30 - 23:45,54799,57845
23:45 - 00:00,53750,57198
00:00 - 00:15,52942,57512
00:15 - 00:30,52272,56727
00:30 - 00:45,51661,55970
00:45 - 01:00,51126,55355
01:00 - 01:15,50638,54893
01:15 - 01:30,50122,54541
01:30 - 01:45,49793,54300
01:45 - 02:00,49792,53906
02:00 - 02:15,49370,53515
02:15 - 02:30,49212,53273
02:30 - 02:45,49220,53313
02:45 - 03:00,49131,53282
03:00 - 03:15,49333,53634
03:15 - 03:30,49325,53692
03:30 - 03:45,49535,53852
03:45 - 04:00,49796,53937
04:00 - 04:15,50307,54361
04:15 - 04:30,50889,54673
04:30 - 04:45,51356,55256
04:45 - 05:00,52029,56098
05:00 - 05:15,53091,57812
05:15 - 05:30,54253,58784
05:30 - 05:45,55555,60355
05:45 - 06:00,57149,62332
06:00 - 06:15,59863,65748
06:15 - 06:30,62185,68598
06:30 - 06:45,64289,70926
06:45 - 07:00,66110,72765
07:00 - 07:15,68821,76014
07:15 - 07:30,70067,77536
07:30 - 07:45,71027,78556
07:45 - 08:00,71990,80067
08:00 - 08:15,73355,81145
08:15 - 08:30,73896,81495
08:30 - 08:45,73838,81583
08:45 - 09:00,74160,81853
09:00 - 09:15,74249,81215
09:15 - 09:30,74543,81799
09:30 - 09:45,75068,82150
09:45 - 10:00,74903,81880
10:00 - 10:15,75408,82958
10:15 - 10:30,75864,83420
10:30 - 10:45,76384,83639
10:45 - 11:00,76186,84380
11:00 - 11:15,76576,84313
11:15 - 11:30,77154,84702
11:30 - 11:45,77417,84747
11:45 - 12:00,77394,84718
12:00 - 12:15,76966,84429
12:15 - 12:30,77484,84315
12:30 - 12:45,76744,84149
12:45 - 13:00,77200,84178
13:00 - 13:15,76811,84133
13:15 - 13:30,74844,83983
13:30 - 13:45,76375,83467
13:45 - 14:00,75709,82974
14:00 - 14:15,73631,82681
14:15 - 14:30,73333,82541
14:30 - 14:45,73552,82215
14:45 - 15:00,75439,82023
15:00 - 15:15,75527,81578
15:15 - 15:30,75196,81050
15:30 - 15:45,74862,80853
15:45 - 16:00,74322,80632
16:00 - 16:15,74553,81148
16:15 - 16:30,74649,81404
16:30 - 16:45,75011,81715
16:45 - 17:00,75708,82321
17:00 - 17:15,76832,83145
17:15 - 17:30,77871,83666
17:30 - 17:45,78281,84110
17:45 - 18:00,78453,84279
18:00 - 18:15,78208,84080
18:15 - 18:30,78031,83599
18:30 - 18:45,77669,83442
18:45 - 19:00,77682,83061
19:00 - 19:15,76882,82109
19:15 - 19:30,76141,81209
19:30 - 19:45,75476,80626
19:45 - 20:00,74630,79925
20:00 - 20:15,72980,77926
20:15 - 20:30,71762,76835
20:30 - 20:45,70588,75754
20:45 - 21:00,69183,74366
21:00 - 21:15,68606,73750
21:15 - 21:30,67869,72986
21:30 - 21:45,67056,71949
21:45 - 22:00,66107,71167
22:00 - 22:15,66080,71182
22:15 - 22:30,65225,70038
22:30 - 22:45,63915,68925
22:45 - 23:00,62524,67402
23:00 - 23:15,59240,66511
23:15 - 23:30,59726,65141
23:30 - 23:45,58845,63972
23:45 - 00:00,57950,63295
00:00 - 00:15,56140,61707
00:15 - 00:30,52038,61176
00:30 - 00:45,55071,60260
00:45 - 01:00,54614,59445
01:00 - 01:15,53998,58821
01:15 - 01:30,53522,58093
01:30 - 01:45,53249,57766
01:45 - 02:00,52827,57415
02:00 - 02:15,52601,56951
02:15 - 02:30,52421,56775
02:30 - 02:45,52370,56855
02:45 - 03:00,52309,56778
03:00 - 03:15,52419,57064
03:15 - 03:30,52561,57011
03:30 - 03:45,52564,57157
03:45 - 04:00,52775,57490
04:00 - 04:15,53368,58042
04:15 - 04:30,53646,58335
04:30 - 04:45,54204,58700
04:45 - 05:00,54840,59501
05:00 - 05:15,56102,61037
05:15 - 05:30,56622,61819
05:30 - 05:45,57567,62872
05:45 - 06:00,58778,64416
06:00 - 06:15,60738,67415
06:15 - 06:30,63007,70408
06:30 - 06:45,65366,72576
06:45 - 07:00,66655,74284
07:00 - 07:15,69443,77628
07:15 - 07:30,70517,79095
07:30 - 07:45,70949,80155
07:45 - 08:00,72065,80918
08:00 - 08:15,73349,81989
08:15 - 08:30,73781,82164
08:30 - 08:45,73390,81897
08:45 - 09:00,73819,81870
09:00 - 09:15,73683,81116
09:15 - 09:30,73864,81428
09:30 - 09:45,74639,81824
09:45 - 10:00,74814,82093
10:00 - 10:15,74736,81899
10:15 - 10:30,74843,82199
10:30 - 10:45,75555,82371
10:45 - 11:00,75437,82634
11:00 - 11:15,75675,82310
11:15 - 11:30,75688,82740
11:30 - 11:45,76263,83014
11:45 - 12:00,76749,83249
12:00 - 12:15,76147,82858
12:15 - 12:30,76244,82742
12:30 - 12:45,75292,82551
12:45 - 13:00,75247,82108
13:00 - 13:15,73959,82174
13:15 - 13:30,75254,81580
13:30 - 13:45,75221,81083
13:45 - 14:00,73945,80568
14:00 - 14:15,71717,80482
14:15 - 14:30,71548,80305
14:30 - 14:45,74311,79675
14:45 - 15:00,70152,79235
15:00 - 15:15,73385,79671
15:15 - 15:30,73784,79056
15:30 - 15:45,73207,78173
15:45 - 16:00,72616,77418
16:00 - 16:15,73605,77892
16:15 - 16:30,73044,78231
16:30 - 16:45,73796,78866
16:45 - 17:00,74830,79733
17:00 - 17:15,76039,81490
17:15 - 17:30,77094,82484
17:30 - 17:45,77803,82724
17:45 - 18:00,78302,82925
18:00 - 18:15,77875,82445
18:15 - 18:30,77795,82041
18:30 - 18:45,77981,81706
18:45 - 19:00,77750,81375
19:00 - 19:15,76881,79924
19:15 - 19:30,75121,79142
19:30 - 19:45,74600,78508
19:45 - 20:00,73611,77646
20:00 - 20:15,71902,75838
20:15 - 20:30,70805,74394
20:30 - 20:45,69688,73783
20:45 - 21:00,68168,72580
21:00 - 21:15,67457,71212
21:15 - 21:30,67142,70607
21:30 - 21:45,66408,70058
21:45 - 22:00,65391,68978
22:00 - 22:15,65652,69210
22:15 - 22:30,65005,68338
22:30 - 22:45,63756,66851
22:45 - 23:00,62400,65633
23:00 - 23:15,61124,64500
23:15 - 23:30,57563,63624
23:30 - 23:45,58904,62750
23:45 - 00:00,57872,61627
00:00 - 00:15,59017,60225
00:15 - 00:30,57812,59291
00:30 - 00:45,56619,58356
00:45 - 01:00,56091,57370
01:00 - 01:15,55392,56564
01:15 - 01:30,54861,56033
01:30 - 01:45,54586,56121
01:45 - 02:00,54122,55738
02:00 - 02:15,53768,55536
02:15 - 02:30,53765,55065
02:30 - 02:45,53770,55220
02:45 - 03:00,53080,55284
03:00 - 03:15,53410,55347
03:15 - 03:30,53403,55294
03:30 - 03:45,53676,55526
03:45 - 04:00,54360,56021
04:00 - 04:15,55026,56196
04:15 - 04:30,55544,56865
04:30 - 04:45,55938,57087
04:45 - 05:00,56793,58214
05:00 - 05:15,57890,59441
05:15 - 05:30,58961,60206
05:30 - 05:45,59881,61668
05:45 - 06:00,61156,63295
06:00 - 06:15,63965,66434
06:15 - 06:30,66275,69443
06:30 - 06:45,68340,72058
06:45 - 07:00,69893,74417
07:00 - 07:15,73345,76955
07:15 - 07:30,74367,78639
07:30 - 07:45,75200,79917
07:45 - 08:00,75975,80967
08:00 - 08:15,77235,81158
08:15 - 08:30,77704,81329
08:30 - 08:45,77383,81191
08:45 - 09:00,77672,81289
09:00 - 09:15,77332,80899
09:15 - 09:30,77237,80787
09:30 - 09:45,77861,81067
09:45 - 10:00,77917,81074
10:00 - 10:15,77662,81352
10:15 - 10:30,77834,81914
10:30 - 10:45,78609,82307
10:45 - 11:00,78594,82808
11:00 - 11:15,79167,82909
11:15 - 11:30,79226,83046
11:30 - 11:45,79694,83412
11:45 - 12:00,79488,83103
12:00 - 12:15,78599,82582
12:15 - 12:30,78412,82094
12:30 - 12:45,78133,82268
12:45 - 13:00,78025,82173
13:00 - 13:15,78483,82194
13:15 - 13:30,77608,82151
13:30 - 13:45,75614,81703
13:45 - 14:00,76574,80917
14:00 - 14:15,76398,80984
14:15 - 14:30,76099,80898
14:30 - 14:45,76254,80476
14:45 - 15:00,75809,79773
15:00 - 15:15,76439,79628
15:15 - 15:30,76098,79435
15:30 - 15:45,75801,79334
15:45 - 16:00,74842,79126
16:00 - 16:15,76304,79005
16:15 - 16:30,75499,79255
16:30 - 16:45,75936,79443
16:45 - 17:00,76608,79919
17:00 - 17:15,77950,82488
17:15 - 17:30,78779,83395
17:30 - 17:45,79351,84072
17:45 - 18:00,79632,84058
18:00 - 18:15,79298,83343
18:15 - 18:30,78984,83000
18:30 - 18:45,78869,82993
18:45 - 19:00,78630,82787
19:00 - 19:15,78001,81171
19:15 - 19:30,78428,80298
19:30 - 19:45,77443,79794
19:45 - 20:00,76593,79116
20:00 - 20:15,74909,77974
20:15 - 20:30,73929,76756
20:30 - 20:45,72713,75342
20:45 - 21:00,71272,74269
21:00 - 21:15,70113,73458
21:15 - 21:30,70079,73111
21:30 - 21:45,68749,72080
21:45 - 22:00,67838,71070
22:00 - 22:15,67850,71483
22:15 - 22:30,67414,70429
22:30 - 22:45,66081,68862
22:45 - 23:00,64595,67389
23:00 - 23:15,63057,66636
23:15 - 23:30,61517,65230
23:30 - 23:45,60715,64289
23:45 - 00:00,59682,63154
00:00 - 00:15,58872,61536
00:15 - 00:30,58150,60534
00:30 - 00:45,57429,59818
00:45 - 01:00,56724,59206
01:00 - 01:15,56107,58964
01:15 - 01:30,55473,58284
01:30 - 01:45,55068,57918
01:45 - 02:00,54668,57521
02:00 - 02:15,54290,57519
02:15 - 02:30,54102,57199
02:30 - 02:45,54239,57321
02:45 - 03:00,54037,57211
03:00 - 03:15,54348,57545
03:15 - 03:30,54258,57630
03:30 - 03:45,54310,57745
03:45 - 04:00,54656,57632
04:00 - 04:15,55107,58503
04:15 - 04:30,55406,58942
04:30 - 04:45,55920,59388
04:45 - 05:00,56578,60119
05:00 - 05:15,57686,61628
05:15 - 05:30,58513,62488
05:30 - 05:45,59619,63628
05:45 - 06:00,61028,65566
06:00 - 06:15,63922,69032
06:15 - 06:30,64592,71592
06:30 - 06:45,67248,73911
06:45 - 07:00,68837,75695
07:00 - 07:15,71987,78213
07:15 - 07:30,75114,79516
07:30 - 07:45,76090,80549
07:45 - 08:00,76971,81611
08:00 - 08:15,78328,82709
08:15 - 08:30,78547,82803
08:30 - 08:45,78381,82990
08:45 - 09:00,78719,82620
09:00 - 09:15,78438,82375
09:15 - 09:30,78320,82377
09:30 - 09:45,79082,82929
09:45 - 10:00,79133,83269
10:00 - 10:15,79065,83501
10:15 - 10:30,79326,83796
10:30 - 10:45,80130,83970
10:45 - 11:00,80168,84118
11:00 - 11:15,80525,84887
11:15 - 11:30,80800,85154
11:30 - 11:45,81044,85490
11:45 - 12:00,80901,85210
12:00 - 12:15,80028,84469
12:15 - 12:30,79707,84036
12:30 - 12:45,79610,83926
12:45 - 13:00,79588,84006
13:00 - 13:15,77756,84159
13:15 - 13:30,77371,84004
13:30 - 13:45,76919,83544
13:45 - 14:00,77730,82643
14:00 - 14:15,75974,82601
14:15 - 14:30,75558,82537
14:30 - 14:45,76959,82057
14:45 - 15:00,76235,81405
15:00 - 15:15,76480,81713
15:15 - 15:30,76287,81389
15:30 - 15:45,75769,80985
15:45 - 16:00,75431,80698
16:00 - 16:15,76103,80886
16:15 - 16:30,76234,81004
16:30 - 16:45,76712,81317
16:45 - 17:00,77432,82048
17:00 - 17:15,78578,83514
17:15 - 17:30,79285,84391
17:30 - 17:45,79873,84558
17:45 - 18:00,80052,84541
18:00 - 18:15,79683,84019
18:15 - 18:30,79104,83583
18:30 - 18:45,79215,83784
18:45 - 19:00,78768,83286
19:00 - 19:15,78133,82600
19:15 - 19:30,77304,81844
19:30 - 19:45,76342,81186
19:45 - 20:00,75518,80428
20:00 - 20:15,73675,78983
20:15 - 20:30,72372,77601
20:30 - 20:45,71496,76478
20:45 - 21:00,70493,75321
21:00 - 21:15,69638,74662
21:15 - 21:30,69159,73794
21:30 - 21:45,68132,73224
21:45 - 22:00,65105,71813
22:00 - 22:15,67595,72021
22:15 - 22:30,64811,71193
22:30 - 22:45,65809,69993
22:45 - 23:00,64499,68498
23:00 - 23:15,63189,66825
23:15 - 23:30,61711,65597
23:30 - 23:45,60648,64278
23:45 - 00:00,57648,63285
00:00 - 00:15,58267,61504
00:15 - 00:30,54014,60591
00:30 - 00:45,56684,59871
00:45 - 01:00,55979,59094
01:00 - 01:15,55364,58145
01:15 - 01:30,54672,57438
01:30 - 01:45,54510,57133
01:45 - 02:00,54011,56855
02:00 - 02:15,53763,56241
02:15 - 02:30,53447,55803
02:30 - 02:45,53652,55895
02:45 - 03:00,53611,56225
03:00 - 03:15,53806,56355
03:15 - 03:30,53826,56585
03:30 - 03:45,53905,56764
03:45 - 04:00,54171,57186
04:00 - 04:15,55049,57667
04:15 - 04:30,55374,58128
04:30 - 04:45,56075,58777
04:45 - 05:00,56488,59713
05:00 - 05:15,57853,61361
05:15 - 05:30,58153,62184
05:30 - 05:45,59291,63390
05:45 - 06:00,60898,65329
06:00 - 06:15,63871,68092
06:15 - 06:30,64618,70759
06:30 - 06:45,67128,72864
06:45 - 07:00,68800,75131
07:00 - 07:15,71770,77767
07:15 - 07:30,74592,79542
07:30 - 07:45,75535,80401
07:45 - 08:00,76369,81242
08:00 - 08:15,77764,82241
08:15 - 08:30,78016,82334
08:30 - 08:45,77661,82246
08:45 - 09:00,77985,81749
09:00 - 09:15,77859,81641
09:15 - 09:30,77485,82154
09:30 - 09:45,78237,82246
09:45 - 10:00,78263,82318
10:00 - 10:15,77893,82068
10:15 - 10:30,77922,82260
10:30 - 10:45,78993,82610
10:45 - 11:00,78707,82890
11:00 - 11:15,79357,83373
11:15 - 11:30,79244,83629
11:30 - 11:45,79968,83472
11:45 - 12:00,79293,83231
12:00 - 12:15,78166,82704
12:15 - 12:30,78067,82055
12:30 - 12:45,77868,81745
12:45 - 13:00,77865,81704
13:00 - 13:15,75498,81671
13:15 - 13:30,75025,80849
13:30 - 13:45,74784,80044
13:45 - 14:00,75625,79212
14:00 - 14:15,73809,78363
14:15 - 14:30,73273,78167
14:30 - 14:45,75542,77765
14:45 - 15:00,74784,77341
15:00 - 15:15,74666,77255
15:15 - 15:30,74349,76798
15:30 - 15:45,73890,76532
15:45 - 16:00,73482,76390
16:00 - 16:15,74458,76698
16:15 - 16:30,74175,77018
16:30 - 16:45,74545,77692
16:45 - 17:00,75596,78545
17:00 - 17:15,77085,80443
17:15 - 17:30,77493,81525
17:30 - 17:45,78133,81913
17:45 - 18:00,78419,82020
18:00 - 18:15,78109,81364
18:15 - 18:30,77706,80828
18:30 - 18:45,77928,80478
18:45 - 19:00,77461,79971
19:00 - 19:15,76572,79307
19:15 - 19:30,75169,78144
19:30 - 19:45,74431,77354
19:45 - 20:00,73383,76156
20:00 - 20:15,71870,74916
20:15 - 20:30,70874,73020
20:30 - 20:45,69707,72366
20:45 - 21:00,68606,71260
21:00 - 21:15,67414,70169
21:15 - 21:30,67443,69318
21:30 - 21:45,64104,68777
21:45 - 22:00,63373,67923
22:00 - 22:15,63582,68310
22:15 - 22:30,63343,67428
22:30 - 22:45,62513,66488
22:45 - 23:00,61307,65345
23:00 - 23:15,60309,63747
23:15 - 23:30,59137,62486
23:30 - 23:45,60410,61555
23:45 - 00:00,59449,60627
00:00 - 00:15,58418,59874
00:15 - 00:30,53912,58767
00:30 - 00:45,56884,58136
00:45 - 01:00,56293,57475
01:00 - 01:15,55524,56736
01:15 - 01:30,54833,56064
01:30 - 01:45,54253,55649
01:45 - 02:00,53573,55332
02:00 - 02:15,53194,55074
02:15 - 02:30,52766,54793
02:30 - 02:45,53265,54663
02:45 - 03:00,52716,54520
03:00 - 03:15,52707,54372
03:15 - 03:30,52419,54259
03:30 - 03:45,52403,54075
03:45 - 04:00,53252,54077
04:00 - 04:15,53279,54155
04:15 - 04:30,52890,54253
04:30 - 04:45,52989,54355
04:45 - 05:00,54114,54302
05:00 - 05:15,53157,54656
05:15 - 05:30,53084,54367
05:30 - 05:45,53294,54289
05:45 - 06:00,53579,54271
06:00 - 06:15,54139,54340
06:15 - 06:30,54090,54726
06:30 - 06:45,55043,55577
06:45 - 07:00,55405,56539
07:00 - 07:15,57182,58013
07:15 - 07:30,58314,59105
07:30 - 07:45,59340,60167
07:45 - 08:00,60247,61457
08:00 - 08:15,61842,62658
08:15 - 08:30,62190,63564
08:30 - 08:45,62860,64715
08:45 - 09:00,63776,65743
09:00 - 09:15,64763,66809
09:15 - 09:30,65015,67590
09:30 - 09:45,65605,68219
09:45 - 10:00,65677,68784
10:00 - 10:15,66133,69588
10:15 - 10:30,66544,69825
10:30 - 10:45,66896,70202
10:45 - 11:00,67121,70673
11:00 - 11:15,67669,70802
11:15 - 11:30,67923,71178
11:30 - 11:45,68281,71499
11:45 - 12:00,68278,71093
12:00 - 12:15,67155,70288
12:15 - 12:30,67475,69963
12:30 - 12:45,66921,69749
12:45 - 13:00,66376,69029
13:00 - 13:15,65710,68427
13:15 - 13:30,65155,67952
13:30 - 13:45,65681,67615
13:45 - 14:00,63913,66686
14:00 - 14:15,64042,65735
14:15 - 14:30,63648,65110
14:30 - 14:45,64208,64879
14:45 - 15:00,62917,64540
15:00 - 15:15,63288,64762
15:15 - 15:30,63281,64269
15:30 - 15:45,62242,64285
15:45 - 16:00,61567,64209
16:00 - 16:15,63794,64522
16:15 - 16:30,63737,65129
16:30 - 16:45,64572,65418
16:45 - 17:00,65118,66448
17:00 - 17:15,66132,68428
17:15 - 17:30,66624,69838
17:30 - 17:45,67687,70515
17:45 - 18:00,68538,71028
18:00 - 18:15,68502,71533
18:15 - 18:30,68257,71439
18:30 - 18:45,68531,71316
18:45 - 19:00,67441,70940
19:00 - 19:15,66859,69763
19:15 - 19:30,66496,69198
19:30 - 19:45,66315,68849
19:45 - 20:00,65130,67788
20:00 - 20:15,63989,66593
20:15 - 20:30,62492,65058
20:30 - 20:45,61680,64227
20:45 - 21:00,60527,63386
21:00 - 21:15,60126,62819
21:15 - 21:30,59987,62288
21:30 - 21:45,59451,62185
21:45 - 22:00,59101,61964
22:00 - 22:15,59684,62643
22:15 - 22:30,59873,62066
22:30 - 22:45,59655,61326
22:45 - 23:00,58845,60574
23:00 - 23:15,57643,59613
23:15 - 23:30,57090,58608
23:30 - 23:45,55428,57873
23:45 - 00:00,55412,57158
00:00 - 00:15,54730,56032
00:15 - 00:30,53895,55386
00:30 - 00:45,51334,54816
00:45 - 01:00,51679,53890
01:00 - 01:15,51107,53625
01:15 - 01:30,50523,52957
01:30 - 01:45,50554,52580
01:45 - 02:00,49337,52215
02:00 - 02:15,49215,51824
02:15 - 02:30,48776,51523
02:30 - 02:45,49218,51261
02:45 - 03:00,48669,51286
03:00 - 03:15,48809,50993
03:15 - 03:30,49318,50851
03:30 - 03:45,49617,50663
03:45 - 04:00,49379,50630
04:00 - 04:15,49372,50577
04:15 - 04:30,49535,50628
04:30 - 04:45,49756,50578
04:45 - 05:00,50082,50488
05:00 - 05:15,50000,50604
05:15 - 05:30,49653,50413
05:30 - 05:45,49635,50123
05:45 - 06:00,49681,49560
06:00 - 06:15,49284,49168
06:15 - 06:30,49188,49521
06:30 - 06:45,49589,49766
06:45 - 07:00,49493,50021
07:00 - 07:15,50654,50716
07:15 - 07:30,51122,51678
07:30 - 07:45,52070,52403
07:45 - 08:00,52787,52928
08:00 - 08:15,53885,53959
08:15 - 08:30,54141,54974
08:30 - 08:45,55162,55807
08:45 - 09:00,56221,56866
09:00 - 09:15,57219,57983
09:15 - 09:30,57696,59199
09:30 - 09:45,58430,59882
09:45 - 10:00,59126,60563
10:00 - 10:15,60018,61853
10:15 - 10:30,60518,62766
10:30 - 10:45,61077,63538
10:45 - 11:00,61512,64202
11:00 - 11:15,62477,65364
11:15 - 11:30,63080,66529
11:30 - 11:45,63750,66890
11:45 - 12:00,63516,66947
12:00 - 12:15,63113,66870
12:15 - 12:30,63161,66380
12:30 - 12:45,63143,65966
12:45 - 13:00,62219,65190
13:00 - 13:15,61646,64369
13:15 - 13:30,60889,63739
13:30 - 13:45,61478,63241
13:45 - 14:00,60040,62265
14:00 - 14:15,60035,61864
14:15 - 14:30,59574,61486
14:30 - 14:45,59816,60813
14:45 - 15:00,58649,60431
15:00 - 15:15,59493,60303
15:15 - 15:30,59464,59914
15:30 - 15:45,59035,59895
15:45 - 16:00,58616,60009
16:00 - 16:15,59695,59962
16:15 - 16:30,59413,60423
16:30 - 16:45,60280,61278
16:45 - 17:00,61393,62394
17:00 - 17:15,63526,64934
17:15 - 17:30,64721,66501
17:30 - 17:45,65876,67609
17:45 - 18:00,66670,68192
18:00 - 18:15,67003,68865
18:15 - 18:30,66693,68380
18:30 - 18:45,67091,68285
18:45 - 19:00,66693,68051
19:00 - 19:15,66261,68009
19:15 - 19:30,65997,67375
19:30 - 19:45,65324,67078
19:45 - 20:00,64667,66385
20:00 - 20:15,63693,65637
20:15 - 20:30,62690,64626
20:30 - 20:45,61644,64075
20:45 - 21:00,60443,62976
21:00 - 21:15,60223,62737
21:15 - 21:30,60402,62309
21:30 - 21:45,59806,62295
21:45 - 22:00,59888,62273
22:00 - 22:15,61190,63662
22:15 - 22:30,61339,63285
22:30 - 22:45,60455,62896
22:45 - 23:00,59394,62090
23:00 - 23:15,58281,61639
23:15 - 23:30,57362,60643
23:30 - 23:45,57308,59925
23:45 - 00:00,56289,58998
00:00 - 00:15,54710,57138
00:15 - 00:30,54012,56327
00:30 - 00:45,53195,55844
00:45 - 01:00,52769,55291
01:00 - 01:15,52370,54714
01:15 - 01:30,51872,54178
01:30 - 01:45,51594,53888
01:45 - 02:00,51343,53780
02:00 - 02:15,50975,53305
02:15 - 02:30,50634,52984
02:30 - 02:45,51076,53087
02:45 - 03:00,50714,53070
03:00 - 03:15,50820,52997
03:15 - 03:30,50717,53108
